单位:(mV)
,CH1,CH2
频率,?,?
周期,?,?
534,160.00,1640.00
535,160.00,1640.00
536,160.00,1640.00
537,160.00,1640.00
538,160.00,1600.00
539,160.00,1640.00
540,160.00,1640.00
541,240.00,1640.00
542,160.00,1600.00
543,160.00,1640.00
544,160.00,1640.00
545,160.00,1600.00
546,160.00,1640.00
547,160.00,1680.00
548,160.00,1680.00
549,160.00,1640.00
550,160.00,1640.00
551,160.00,1640.00
552,160.00,1640.00
553,160.00,1640.00
554,160.00,1640.00
555,160.00,1640.00
556,160.00,1680.00
557,160.00,1640.00
558,160.00,1640.00
559,160.00,1640.00
560,160.00,1640.00
561,160.00,1640.00
562,160.00,1640.00
563,160.00,1600.00
564,160.00,1600.00
565,160.00,1600.00
566,160.00,1640.00
567,160.00,1640.00
568,160.00,1640.00
569,160.00,1640.00
570,160.00,1600.00
571,160.00,1640.00
572,160.00,1640.00
573,160.00,1640.00
574,160.00,1640.00
575,160.00,1600.00
576,160.00,1640.00
577,160.00,1640.00
578,160.00,1640.00
579,160.00,1640.00
580,160.00,1640.00
581,160.00,1640.00
582,160.00,1640.00
583,160.00,1600.00
584,160.00,1640.00
585,160.00,1640.00
586,160.00,1640.00
587,160.00,1680.00
588,160.00,1600.00
589,160.00,1640.00
590,160.00,1640.00
591,160.00,1640.00
592,160.00,1600.00
593,160.00,1600.00
594,160.00,1640.00
595,160.00,1640.00
596,160.00,1640.00
597,160.00,1600.00
598,160.00,1640.00
599,160.00,1640.00
600,160.00,1640.00
601,160.00,1640.00
602,160.00,1640.00
603,160.00,1640.00
604,160.00,1600.00
605,80.00,1640.00
606,160.00,1640.00
607,160.00,1640.00
608,160.00,1640.00
609,160.00,1600.00
610,160.00,1640.00
611,160.00,1640.00
612,160.00,1680.00
613,160.00,1600.00
614,160.00,1680.00
615,160.00,1640.00
616,240.00,1640.00
617,160.00,1640.00
618,160.00,1640.00
619,160.00,1600.00
620,160.00,1640.00
621,160.00,1600.00
622,160.00,1640.00
623,160.00,1640.00
624,160.00,1600.00
625,160.00,1600.00
626,160.00,1600.00
627,160.00,1640.00
628,160.00,1640.00
629,160.00,1600.00
630,160.00,1640.00
631,160.00,1640.00
632,160.00,1640.00
633,80.00,1640.00
634,160.00,1600.00
635,160.00,1640.00
636,240.00,1640.00
637,160.00,1640.00
638,160.00,1640.00
639,160.00,1640.00
640,160.00,1600.00
641,160.00,1640.00
642,160.00,1640.00
643,160.00,1640.00
644,160.00,1640.00
645,80.00,1640.00
646,160.00,1680.00
647,160.00,1640.00
648,160.00,1640.00
649,160.00,1680.00
650,160.00,1640.00
651,160.00,1640.00
652,80.00,1640.00
653,160.00,1640.00
654,240.00,1680.00
655,160.00,1640.00
656,240.00,1600.00
657,160.00,1640.00
658,160.00,1600.00
659,160.00,1640.00
660,160.00,1640.00
661,160.00,1600.00
662,160.00,1640.00
663,160.00,1640.00
664,160.00,1640.00
665,160.00,1680.00
666,160.00,1640.00
667,160.00,1640.00
668,160.00,1640.00
669,160.00,1640.00
670,80.00,1640.00
671,160.00,1640.00
672,160.00,1600.00
673,160.00,1640.00
674,160.00,1680.00
675,160.00,1640.00
676,160.00,1600.00
677,160.00,1640.00
678,160.00,1600.00
679,160.00,1600.00
680,160.00,1640.00
681,160.00,1600.00
682,160.00,1640.00
683,160.00,1640.00
684,160.00,1680.00
685,160.00,1600.00
686,160.00,1640.00
687,160.00,1640.00
688,160.00,1600.00
689,160.00,1640.00
690,160.00,1640.00
691,160.00,1640.00
692,160.00,1600.00
693,160.00,1640.00
694,160.00,1640.00
695,160.00,1640.00
696,160.00,1640.00
697,160.00,1640.00
698,160.00,1640.00
699,160.00,1640.00
700,160.00,1640.00
701,160.00,1600.00
702,160.00,1640.00
703,160.00,1680.00
704,160.00,1640.00
705,160.00,1640.00
706,160.00,1640.00
707,160.00,1640.00
708,160.00,1680.00
709,160.00,1640.00
710,160.00,1640.00
711,160.00,1680.00
712,80.00,1640.00
713,160.00,1640.00
714,160.00,1680.00
715,160.00,1680.00
716,160.00,1640.00
717,160.00,1600.00
718,160.00,1640.00
719,80.00,1600.00
720,160.00,1680.00
721,160.00,1600.00
722,160.00,1600.00
723,160.00,1600.00
724,160.00,1640.00
725,160.00,1680.00
726,160.00,1640.00
727,160.00,1640.00
728,160.00,1640.00
729,160.00,1640.00
730,160.00,1640.00
731,160.00,1640.00
732,160.00,1600.00
733,160.00,1640.00
734,160.00,1640.00
735,160.00,1640.00
736,160.00,1600.00
737,160.00,1640.00
738,160.00,1640.00
739,160.00,1640.00
740,80.00,1640.00
741,160.00,1640.00
742,160.00,1640.00
743,160.00,1600.00
744,240.00,1640.00
745,160.00,1640.00
746,160.00,1680.00
747,160.00,1640.00
748,160.00,1640.00
749,160.00,1640.00
750,240.00,1640.00
751,160.00,1640.00
752,160.00,1640.00
753,160.00,1640.00
754,80.00,1680.00
755,160.00,1600.00
756,160.00,1600.00
757,80.00,1640.00
758,160.00,1640.00
759,160.00,1640.00
760,160.00,1640.00
761,160.00,1600.00
762,160.00,1640.00
763,160.00,1640.00
764,160.00,1640.00
765,160.00,1640.00
766,160.00,1640.00
767,160.00,1640.00
768,160.00,1640.00
769,160.00,1640.00
770,160.00,1640.00
771,160.00,1640.00
772,160.00,1640.00
773,160.00,1680.00
774,160.00,1640.00
775,160.00,1640.00
776,160.00,1640.00
777,160.00,1640.00
778,160.00,1640.00
779,160.00,1640.00
780,160.00,1640.00
781,160.00,1640.00
782,160.00,1680.00
783,160.00,1640.00
784,160.00,1600.00
785,160.00,1600.00
786,160.00,1600.00
787,160.00,1640.00
788,160.00,1640.00
789,80.00,1640.00
790,160.00,1680.00
791,160.00,1640.00
792,160.00,1640.00
793,160.00,1640.00
794,160.00,1640.00
795,160.00,1640.00
796,160.00,1640.00
797,160.00,1640.00
